Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KEGG_2019_Mouse__Maturity onset diabetes of the young,0.7439296759917269,1.2633042438051698,1.818182e-01,1.000000e+00,1.000000e+00,5/27,7.54%,Onecut1;Neurog3;Slc2a2;Ins2;Hnf1b
prerank,KEGG_2019_Mouse__Tyrosine metabolism,0.7001645737909172,1.260479490329171,1.789474e-01,1.000000e+00,1.000000e+00,8/39,6.38%,Tyr;Aldh3b3;Dbh;Tpo;4930438A08Rik;Dct;Aldh1a3;Tyrp1
prerank,KEGG_2019_Mouse__Renin-angiotensin system,-0.7133381083578582,-1.2564550907376784,1.546185e-01,1.000000e+00,1.000000e+00,9/34,5.75%,Mcpt4;Klk1b9;Klk1b11;Klk1b8;Klk1b26;Cma1;Cpa3;Mme;Klk1
prerank,KEGG_2019_Mouse__DNA replication,-0.7289978897110906,-1.2564390162717423,1.709742e-01,1.000000e+00,1.000000e+00,21/35,17.73%,Mcm5;Pole;Pole2;Rfc5;Pola2;Fen1;Mcm2;Dna2;Mcm6;Pold1;Mcm3;Mcm7;Rfc4;Rnaseh2a;Rfc3;Pola1;Lig1;Mcm4;Pold4;Rpa3;Rpa2
prerank,KEGG_2019_Mouse__Primary bile acid biosynthesis,-0.8143680096361847,-1.2525599870245503,2.067511e-01,1.000000e+00,1.000000e+00,1/16,0.41%,Cyp8b1
prerank,KEGG_2019_Mouse__Progesterone-mediated oocyte maturation,-0.6194287174335843,-1.251556277555328,1.165644e-01,1.000000e+00,1.000000e+00,14/90,8.24%,Mos;Spdye4a;Bub1;Ccnb1;Cdc25c;Ccna2;Plk1;Aurka;Ccnb2;Cdk1;Ccna1;Kif22;Rps6ka6;Mad2l1
prerank,KEGG_2019_Mouse__Ribosome,-0.597657885077477,-1.2498959807088228,8.548708e-02,1.000000e+00,1.000000e+00,92/129,26.99%,Rplp0;Rpl32;Rpl10a;Rpl39l;Rpl18;Rps11;Rpsa;Rpl13;Rpl18a;Rps5;Rps9;Fau;Rpl19;Rps4x;Rpl29;Rps19;Rpl11;Rps20;Rps12;Rps7;Rps27rt;Rpl27a;Rpl34;Rpl12;Rps24;Rpl39;Rpl22;Rps18;Uba52;Rps3;Rps27a;Rps10;Rps3a1;Rpl27;Rps15a;Rpl8;Rps16;Rps29;Rps13;Rpl3l;Mrpl34;Rpl35a;Rpl35;Rpl23;Rpl37a;Rpl15;Rps14;Rpl28;Rpl37;Rpl17;Rps28;Rps8;Rps26;Rpl7a;Rpl6;Rpl36al;Rpl24;Rpl26;Rps23;Rplp1;Rps2;Rpl31;Rpl36;Rpl9;Rpl30;Mrpl30;Rpl4;Rps27;Mrpl21;Rpl7;Rplp2;Rpl13a;Rpl21;Mrpl19;Rpl14;Rpl23a;Mrps17;Rpl3;Rps21;Rpl5;Rps25;Rpl38;Rpl10;Mrpl32;Mrpl10;Mrpl4;Rps15;Mrpl12;Mrpl1;Mrps5;Mrpl35;Rpl41
prerank,KEGG_2019_Mouse__Phenylalanine metabolism,0.756993043915161,1.2464392550722991,2.489540e-01,1.000000e+00,1.000000e+00,4/22,5.63%,Aldh3b3;Glyat;4930438A08Rik;Aldh1a3
prerank,KEGG_2019_Mouse__Nicotine addiction,0.6886113250290538,1.231439857368381,1.932271e-01,1.000000e+00,1.000000e+00,27/40,20.52%,Gabrr3;Gabrp;Gabra6;Gabrq;Chrna4;Gabra5;Gabrr2;Gria4;Grin2a;Grin1;Gabrd;Gria3;Gabrb2;Gabre;Gabra3;Gria1;Gabra1;Grin2d;Slc17a7;Slc17a8;Grin2b;Gabrg3;Gabrg1;Gabra4;Chrnb2;Gabrg2;Cacna1b
prerank,KEGG_2019_Mouse__Cytokine-cytokine receptor interaction,-0.5359428104266863,-1.2291349350048268,5.384615e-02,1.000000e+00,1.000000e+00,79/286,10.88%,Cxcl3;Prl;Ccr1l1;Cxcr1;Il17f;Il31;Gdf2;Cxcl15;Ifnl2;Inhbe;Bmp10;Il19;Cxcl9;Il12b;Ccl22;Tnfsf15;Tnfrsf9;Gdf3;Il21;Ccr7;Ngf;Tnfsf4;Ccr4;Ccl5;Xcr1;Ccl17;Ppbp;Gh;Tnfrsf4;Cxcl10;Cd70;Tnfrsf18;Il1rn;Lta;Il2rb;Il27;Cd4;Il2rg;Il2ra;Il23a;Il1r2;Fasl;Ccr2;Il12rb1;Ccr9;Cd40;Il18r1;Ifng;Il23r;Ccl8;Ccr8;Ccr6;Cxcl16;Il7r;Cxcr3;Cxcl13;Ccl1;Xcl1;Ccl19;Tnfsf11;Il1rl1;Ccl7;Ccl2;Csf2rb2;Il10;Il9r;Tnfrsf12a;Tnfrsf8;Ltb;Epor;Ccr3;Ccr1;Ccl11;Csf2rb;Ccr5;Cxcr4;Bmp8b;Il3ra;Eda2r
prerank,KEGG_2019_Mouse__Phototransduction,-0.7349270311277584,-1.2267771452552723,2.177264e-01,1.000000e+00,1.000000e+00,2/27,0.10%,Gngt1;Calm4
prerank,KEGG_2019_Mouse__Necroptosis,-0.5617978955090123,-1.2209184880804347,9.881423e-02,1.000000e+00,1.000000e+00,34/175,12.56%,Pla2g4f;Hist1h2ah;Pla2g4d;H2al1b;Zbp1;Pla2g4c;Stat4;Mlkl;Hist1h2ab;Hist1h2an;Hist1h2ap;Fasl;Hist1h2ai;Slc25a31;Hist1h2ak;Ifng;Hist1h2ae;Hist1h2ao;Hist1h2af;Cybb;Casp1;Hist1h2ag;Stat1;H2al1m;Ripk3;Hist1h2ad;Capn1;Bid;H2afx;Birc3;Il1b;Pycard;Jak3;Hist1h2ac
prerank,KEGG_2019_Mouse__Intestinal immune network for IgA production,-0.6805044563686752,-1.2150942267306069,1.943320e-01,1.000000e+00,1.000000e+00,24/41,15.54%,Aicda;H2-Eb1;H2-Aa;H2-Ab1;Icos;Ccr9;Cd40;H2-DMb2;Itga4;Itgb7;Cd28;Il10;Cxcr4;H2-DMa;H2-DMb1;Map3k14;Tgfb1;Tnfrsf13b;Cd40lg;Cd80;Cd86;Pigr;H2-Oa;H2-Ob
prerank,KEGG_2019_Mouse__Endocrine and other factor-regulated calcium reabsorption,-0.6404693412330882,-1.2106501613329161,1.473477e-01,1.000000e+00,1.000000e+00,6/55,5.75%,Klk1b9;Klk1b11;Klk1b8;Klk1b26;Vdr;Klk1
prerank,KEGG_2019_Mouse__Nitrogen metabolism,0.7599835789048326,1.2013552335386337,3.092593e-01,1.000000e+00,1.000000e+00,7/17,14.16%,Cps1;Car12;Car3;Car1;Car14;Car2;Car7
prerank,KEGG_2019_Mouse__Complement and coagulation cascades,0.5985599080387021,1.1988498724791754,1.387164e-01,1.000000e+00,1.000000e+00,14/88,7.47%,Serpina1a;F12;Serpina1c;Cpb2;Zp3r;Serpina1d;Vsig4;Bdkrb2;Cd55b;Proc;Itgb2l;Serpinb2;Mbl2;F5
prerank,KEGG_2019_Mouse__One carbon pool by folate,-0.7591823457452386,-1.1934274124244528,2.907950e-01,1.000000e+00,1.000000e+00,5/19,12.33%,Ftcd;Shmt1;Tyms;Mthfd1l;Dhfr
prerank,KEGG_2019_Mouse__GnRH signaling pathway,-0.5878749995729562,-1.191508935993897,1.414914e-01,1.000000e+00,1.000000e+00,4/90,3.51%,Calm4;Pla2g4f;Pla2g4d;Cga
